artist,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,duration_ms,explicit
Post Malone,Sugar Wraith,0MrRAUcB8AZiB9ue2VOBYe,0.606,0.775,5,-4.269,0,0.0671,0.262,0,0.1,0.307,228147,1
Post Malone,Better Now,3AISCGqWZmb6UPxoYrXaA9,0.686,0.579,10,-5.813,1,0.0442,0.334,0,0.135,0.352,231267,0
Post Malone,Broken Whiskey Glass,0w89EjakLskVBfnUhCv58h,0.353,0.666,7,-7.389,0,0.0701,0.359,2.97E-05,0.127,0.0858,233813,0
Post Malone,Sick (feat. DaBaby),7uSTAOiERZOAfbbgojO8HJ,0.883,0.484,0,-6.94,1,0.416,0.0537,0,0.0712,0.286,117587,0
Post Malone,Finesse,55V6KBhFoi1MHed6XUHJKN,0.696,0.841,5,-4.819,0,0.0833,0.00618,7.12E-05,0.313,0.678,206333,0
Post Malone,We Are Never Ever Getting Back Together,3KsqtyjPjUQ8NLGgfp5dyp,0.603,0.601,7,-7.513,1,0.041,0.0283,0.00116,0.131,0.559,194253,0
Post Malone,Over With,7olmBypqrZKZHXnJBKhJKi,0.836,0.536,5,-6.083,1,0.234,0.0607,0,0.125,0.518,123080,0
Post Malone,Depend On Me (feat. Lil Tjay),0Ry4dvZkm8QR0wANziFIuo,0.703,0.717,1,-5.67,0,0.375,0.014,0,0.102,0.673,151653,1
Post Malone,Internet,4U3m2QS28oO5VM7G9BiRme,0.514,0.459,0,-5.996,1,0.0288,0.842,0,0.102,0.182,123387,0
Post Malone,No Option,6lKpSNsl2KJqoRtlBbKI7Y,0.575,0.734,2,-4.949,1,0.057,0.0757,0,0.241,0.494,179827,1
Post Malone,Call Me Maybe,2F38THMr1ftafhXZKTZd7l,0.684,0.805,7,-6.084,1,0.0343,0.0001,0.187,0.149,0.686,195747,0
Post Malone,Sunflower - Spider-Man: Into the Spider-Verse,0RiRZpuVRbi7oqRdSMwhQY,0.755,0.522,2,-4.368,1,0.0575,0.533,0,0.0685,0.925,157560,0
Post Malone,Easy,63FiCssRxWHmRW48pwzVxf,0.799,0.544,0,-6.411,1,0.346,0.166,0,0.219,0.452,105920,1
Post Malone,Say It,1Ox3JrQQSzCrM91dv5KU53,0.652,0.701,7,-11.648,0,0.0385,0.0134,2.89E-05,0.107,0.198,228573,0
